sub,del,ins,hit,wer
0,0,0,13,0.0
1,0,0,8,0.1111111111111111
10,0,1,9,0.5789473684210527
5,0,1,21,0.23076923076923078
0,0,0,9,0.0
3,5,0,5,0.6153846153846154
3,0,2,2,1.0
3,0,0,13,0.1875
3,0,1,3,0.6666666666666666
0,0,0,9,0.0
2,2,1,7,0.45454545454545453
4,0,0,6,0.4
1,0,1,4,0.4
2,0,1,5,0.42857142857142855
1,0,0,13,0.07142857142857142
2,0,2,19,0.19047619047619047
1,3,0,7,0.36363636363636365
14,3,1,92,0.1651376146788991
9,3,1,47,0.22033898305084745
2,2,1,21,0.2
0,1,0,6,0.14285714285714285
0,0,0,11,0.0
2,1,2,71,0.06756756756756757
2,0,1,12,0.21428571428571427
2,0,1,9,0.2727272727272727
